Ciclo;Asignatura
1;INE001 - PROCESO CULTURAL ANDINO
1;INE002 - PROGRAMACIÓN Y COMPUTACIÓN
1;INE003 - DIBUJO TÉCNICO
1;INE004 - INGLÉS PARA ESCRITURA ACADÉMICA
1;INE005 - MATLAB
1;INE006 - CÁLCULOS BÁSICOS EN QUÍMICA
1;INE007 - SEGURIDAD E HIGIENE EN LABORATORIO
1;INE008 - FUNDAMENTOS DE RIESGOS DE DESASTRES Y CAMBIO CLIMÁTICO
1;INE009 - GEOGRAFIA ECONÓMICA DEL PERÚ
1;INE010 - CIUDADANÍA Y DERECHOS FUNDAMENTALES
1;INE011 - TALLER DE ELECTRICIDAD Y ELECTRONICA
1;INE012 - ECONOMIA GENERAL
1;INE013 - EMPRENDIMIENTO E INNOVACIÓN
1;INE014 - TALLER DE MÚSICA
1;INE015 - TALLER DE DANZA
1;INE016 - APRECIACIÓN DE CINE
1;INE017 - QUECHUA
1;INO101 - REDACCIÓN Y TÉCNICAS DE COMUNICACIÓN EFECTIVA I
1;INO102 - MÉTODOS DE ESTUDIO UNIVERSITARIO
1;INO103 - DESARROLLO PERSONAL Y LIDERAZGO
1;INO104 - CÁLCULO I
1;INO105 - BIOLOGÍA PARA CIENCIAS E INGENIERÍA
1;INO106 - ÁLGEBRA Y GEOMETRÍA ANALÍTICA
1;INO107 - MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE
2;INO201 - REDACCIÓN Y TÉCNICAS DE COMUNICACIÓN EFECTIVA II
2;INO202 - INVESTIGACIÓN FORMATIVA
2;INO203 - REALIDAD NACIONAL Y MUNDIAL
2;INO204 - CÁLCULO II
2;INO205 - FÍSICA I
2;INO206 - QUÍMICA GENERAL
2;INO207 - INTRODUCCIÓN A LAS CIENCIAS E INGENIERÍA
3;202W0301 - ALGORÍTMICA I
3;202W0302 - ESTADÍSTICA
3;202W0303 - FISICA ELÉCTRONICA
3;202W0304 - INGENIERÍA ECONÓMICA
3;202W0305 - INTRODUCCIÓN AL DESARROLLO DE SOFTWARE
3;202W0306 - MATEMÁTICA BÁSICA
3;202W0307 - ORGANIZACIÓN Y ADMINISTRACIÓN
4;202W0401 - ALGORÍTMICA II
4;202W0402 - CONTABILIDAD PARA LA GESTIÓN
4;202W0403 - INNOVACIÓN, TECNOLOGÍA Y EMPRENDIMIENTO
4;202W0404 - MATEMÁTICA DISCRETA
4;202W0405 - PROBABILIDADES
4;202W0406 - PROCESOS DE SOFTWARE
4;202W0407 - SISTEMAS DIGITALES
5;202W0501 - ANÁLISIS Y DISEÑO DE ALGORITMOS
5;202W0502 - ARQUITECTURA DE COMPUTADORAS
5;202W0503 - CALIDAD DE SOFTWARE
5;202W0504 - COMPUTACIÓN VISUAL
5;202W0505 - ESTRUCTURA DE DATOS
5;202W0506 - ECONOMÍA PARA LA GESTIÓN
5;202W0507 - INGENIERÍA DE REQUISITOS
6;202W0601 - ASEGURAMIENTO DE LA CALIDAD DEL SOFTWARE
6;202W0602 - BASE DE DATOS I
6;202W0603 - DISEÑO DE SOFTWARE
6;202W0604 - FORMACIÓN DE EMPRESAS DE SOFTWARE
6;202W0605 - GESTIÓN DE LA CONFIGURACIÓN DEL SOFTWARE
6;202W0606 - INTERACCIÓN HOMBRE COMPUTADOR
6;202W0607 - SISTEMAS OPERATIVOS
7;202W0701 - ARQUITECTURA DE SOFTWARE
7;202W0702 - BASE DE DATOS II
7;202W0703 - EXPERIENCIA DE USUARIO Y USABILIDAD
7;202W0704 - GESTIÓN DE PROYECTO DE SOFTWARE
7;202W0705 - INTELIGENCIA ARTIFICIAL
7;202W0706 - MÉTODOS FORMALES PARA PRUEBAS
7;202W0707 - REDES Y TRANSMISIÓN DE DATOS
8;202W0801 - AUTOMATIZACIÓN Y CONTROL DE SOFTWARE
8;202W0802 - INTELIGENCIA DE NEGOCIOS
8;202W0803 - METODOLOGÍA DE LA INVESTIGACIÓN
8;202W0804 - MINERÍA DE DATOS
8;202W0805 - PROGRAMACIÓN CONCURRENTE Y PARALELA
8;202W0806 - SEGURIDAD DEL SOFTWARE
8;202W0807 - TALLER DE CONSTRUCCIÓN DE SOFTWARE WEB
8;202W0808 - VERIFICACIÓN Y VALIDACIÓN DE SOFTWARE
9;202W0901 - DESARROLLO DE TESIS I
9;202W0902 - GARANTÍA DE SOFTWARE
9;202W0903 - GERENCIA DE TECNOLOGÍA DE LA INFORMACIÓN
9;202W0904 - GESTIÓN DE MANTENIMIENTO DEL SOFTWARE
9;202W0905 - GESTIÓN DE RIESGO DEL SOFTWARE
9;202W0906 - INTERNET DE LAS COSAS
9;202W0907 - TALLER DE CONSTRUCCIÓN DE SOFTWARE MÓVIL
9;202W0908 - SOFTWARE INTELIGENTE
10;202W1001 - ANALÍTICA DE DATOS
10;202W1002 - DESARROLLO DE TESIS II
10;202W1003 - PRÁCTICA PRE PROFESIONAL
10;202W1004 - TALLER DE APLICACIONES SOCIALES
10;202W1005 - TENDENCIAS DE ARQUITECTURA DE SOFTWARE
10;202W1006 - TENDENCIAS EN INGENIERÍA DE SOFTWARE Y GESTIÓN
