CodDocente,Día,Asignatura,CodAsignatura,DuracionHoras,HoraInicio,HoraFin,Ciclo
41388541,Lun,CONTABILIDAD PARA LA GESTION,202W0402,4.0,13:00,17:00,4
41388541,Lun,CONTABILIDAD PARA LA GESTION,202W0402,4.0,18:00,22:00,4
41388541,Mar,CONTABILIDAD PARA LA GESTION,202W0402,4.0,13:00,17:00,4
41388541,Mar,CONTABILIDAD PARA LA GESTION,202W0402,4.0,18:00,22:00,4
41388541,Mie,CONTABILIDAD PARA LA GESTION,202W0402,4.0,13:00,17:00,4
41388541,Mie,CONTABILIDAD PARA LA GESTION,202W0402,4.0,18:00,22:00,4
41388541,Jue,CONTABILIDAD PARA LA GESTION,202W0402,4.0,10:00,14:00,4
41388541,Jue,CONTABILIDAD PARA LA GESTION,202W0402,4.0,11:00,15:00,4
41388541,Jue,CONTABILIDAD PARA LA GESTION,202W0402,4.0,18:00,22:00,4
41388541,Vie,CONTABILIDAD PARA LA GESTION,202W0402,4.0,13:00,17:00,4
41388541,Vie,CONTABILIDAD PARA LA GESTION,202W0402,4.0,18:00,22:00,4
095699 ,Lun,SISTEMAS DIGITALES,202W0407,5.0,14:00,19:00,4
095699 ,Lun,SISTEMAS DIGITALES,202W0407,5.0,15:00,20:00,4
095699 ,Lun,SISTEMAS DIGITALES,202W0407,5.0,16:00,21:00,4
095699 ,Lun,SISTEMAS DIGITALES,202W0407,5.0,17:00,22:00,4
095699 ,Mar,SISTEMAS DIGITALES,202W0407,5.0,14:00,19:00,4
095699 ,Mar,SISTEMAS DIGITALES,202W0407,5.0,15:00,20:00,4
095699 ,Mar,SISTEMAS DIGITALES,202W0407,5.0,16:00,21:00,4
095699 ,Mar,SISTEMAS DIGITALES,202W0407,5.0,17:00,22:00,4
095699 ,Jue,SISTEMAS DIGITALES,202W0407,5.0,14:00,19:00,4
095699 ,Jue,SISTEMAS DIGITALES,202W0407,5.0,15:00,20:00,4
095699 ,Jue,SISTEMAS DIGITALES,202W0407,5.0,16:00,21:00,4
095699 ,Jue,SISTEMAS DIGITALES,202W0407,5.0,17:00,22:00,4
095699 ,Vie,SISTEMAS DIGITALES,202W0407,5.0,14:00,19:00,4
095699 ,Vie,SISTEMAS DIGITALES,202W0407,5.0,15:00,20:00,4
095699 ,Vie,SISTEMAS DIGITALES,202W0407,5.0,16:00,21:00,4
095699 ,Vie,SISTEMAS DIGITALES,202W0407,5.0,17:00,22:00,4
095699 ,Sab,SISTEMAS DIGITALES,202W0407,5.0,14:00,19:00,4
095699 ,Sab,SISTEMAS DIGITALES,202W0407,5.0,15:00,20:00,4
095699 ,Sab,SISTEMAS DIGITALES,202W0407,5.0,16:00,21:00,4
095699 ,Sab,SISTEMAS DIGITALES,202W0407,5.0,17:00,22:00,4
0A4524,Lun,"INNOVACION, TECNOLOGIA Y EMPRENDIMIENTO",202W0403,4.0,08:00,12:00,4
0A4524,Lun,"INNOVACION, TECNOLOGIA Y EMPRENDIMIENTO",202W0403,4.0,18:00,22:00,4
0A4524,Mar,"INNOVACION, TECNOLOGIA Y EMPRENDIMIENTO",202W0403,4.0,08:00,12:00,4
0A4524,Mar,"INNOVACION, TECNOLOGIA Y EMPRENDIMIENTO",202W0403,4.0,18:00,22:00,4
0A4524,Mie,"INNOVACION, TECNOLOGIA Y EMPRENDIMIENTO",202W0403,4.0,08:00,12:00,4
0A4524,Mie,"INNOVACION, TECNOLOGIA Y EMPRENDIMIENTO",202W0403,4.0,18:00,22:00,4
0A4524,Jue,"INNOVACION, TECNOLOGIA Y EMPRENDIMIENTO",202W0403,4.0,08:00,12:00,4
0A4524,Jue,"INNOVACION, TECNOLOGIA Y EMPRENDIMIENTO",202W0403,4.0,18:00,22:00,4
0A4524,Vie,"INNOVACION, TECNOLOGIA Y EMPRENDIMIENTO",202W0403,4.0,08:00,12:00,4
0A4524,Vie,"INNOVACION, TECNOLOGIA Y EMPRENDIMIENTO",202W0403,4.0,18:00,22:00,4
043788 ,Mar,PROBABILIDADES,202W0405,4.0,14:00,18:00,4
043788 ,Mar,PROBABILIDADES,202W0405,4.0,15:00,19:00,4
043788 ,Mar,PROBABILIDADES,202W0405,4.0,16:00,20:00,4
043788 ,Mar,PROBABILIDADES,202W0405,4.0,17:00,21:00,4
043788 ,Mar,PROBABILIDADES,202W0405,4.0,18:00,22:00,4
043788 ,Mie,PROBABILIDADES,202W0405,4.0,14:00,18:00,4
043788 ,Mie,PROBABILIDADES,202W0405,4.0,15:00,19:00,4
043788 ,Mie,PROBABILIDADES,202W0405,4.0,16:00,20:00,4
043788 ,Mie,PROBABILIDADES,202W0405,4.0,17:00,21:00,4
043788 ,Mie,PROBABILIDADES,202W0405,4.0,18:00,22:00,4
043788 ,Jue,PROBABILIDADES,202W0405,4.0,14:00,18:00,4
043788 ,Jue,PROBABILIDADES,202W0405,4.0,15:00,19:00,4
043788 ,Jue,PROBABILIDADES,202W0405,4.0,16:00,20:00,4
043788 ,Jue,PROBABILIDADES,202W0405,4.0,17:00,21:00,4
043788 ,Jue,PROBABILIDADES,202W0405,4.0,18:00,22:00,4
043788 ,Vie,PROBABILIDADES,202W0405,4.0,14:00,18:00,4
043788 ,Vie,PROBABILIDADES,202W0405,4.0,15:00,19:00,4
043788 ,Vie,PROBABILIDADES,202W0405,4.0,16:00,20:00,4
043788 ,Vie,PROBABILIDADES,202W0405,4.0,17:00,21:00,4
043788 ,Vie,PROBABILIDADES,202W0405,4.0,18:00,22:00,4
043788 ,Sab,PROBABILIDADES,202W0405,4.0,14:00,18:00,4
043788 ,Sab,PROBABILIDADES,202W0405,4.0,15:00,19:00,4
043788 ,Sab,PROBABILIDADES,202W0405,4.0,16:00,20:00,4
043788 ,Sab,PROBABILIDADES,202W0405,4.0,17:00,21:00,4
043788 ,Sab,PROBABILIDADES,202W0405,4.0,18:00,22:00,4
95753,Lun,ALGORITMICA II,202W0401,5.0,14:00,19:00,4
95753,Lun,ALGORITMICA II,202W0401,5.0,15:00,20:00,4
95753,Lun,ALGORITMICA II,202W0401,5.0,16:00,21:00,4
95753,Lun,ALGORITMICA II,202W0401,5.0,17:00,22:00,4
95753,Mar,ALGORITMICA II,202W0401,5.0,14:00,19:00,4
95753,Mar,ALGORITMICA II,202W0401,5.0,15:00,20:00,4
95753,Mar,ALGORITMICA II,202W0401,5.0,16:00,21:00,4
95753,Mar,ALGORITMICA II,202W0401,5.0,17:00,22:00,4
