CodDocente,Dia,HoraInicio,HoraFin
41388541,Lun,13:00,17:00
41388541,Lun,18:00,22:00
41388541,Mar,13:00,17:00
41388541,Mar,18:00,22:00
41388541,Mie,13:00,17:00
41388541,Mie,18:00,22:00
41388541,Jue,10:00,15:00
41388541,Jue,18:00,22:00
41388541,Vie,13:00,17:00
41388541,Vie,18:00,22:00
095699 ,Lun,14:00,22:00
095699 ,Mar,14:00,22:00
095699 ,Jue,14:00,22:00
095699 ,Vie,14:00,22:00
095699 ,Sab,14:00,22:00
0A4524,Lun,08:00,12:00
0A4524,Lun,18:00,22:00
0A4524,Mar,08:00,12:00
0A4524,Mar,18:00,22:00
0A4524,Mie,08:00,12:00
0A4524,Mie,18:00,22:00
0A4524,Jue,08:00,12:00
0A4524,Jue,18:00,22:00
0A4524,Vie,08:00,12:00
0A4524,Vie,18:00,22:00
043788 ,Mar,14:00,22:00
043788 ,Mie,14:00,22:00
043788 ,Jue,14:00,22:00
043788 ,Vie,14:00,22:00
043788 ,Sab,14:00,22:00
95753,Lun,14:00,22:00
95753,Mar,14:00,22:00
95753,Mie,14:00,22:00
95753,Jue,14:00,22:00
95753,Vie,14:00,22:00
0A1610,Lun,14:00,22:00
0A1610,Mar,14:00,22:00
0A1610,Mie,14:00,22:00
0A1610,Jue,14:00,22:00
0A1610,Vie,14:00,22:00
