;CodAsignatura;Ciclo;Seccion;CodDocente;Día;HoraInicio;HoraFin;DuraciónHoras
0;202W0301;3;1;085774;LUNES;14:00;19:00;5
1;202W0302;3;1;043788;VIERNES;17:00;22:00;5
2;202W0303;3;1;0A06292;MARTES;09:00;13:00;4
3;202W0304;3;1;Z000003;MARTES;09:00;13:00;4
4;202W0305;3;1;0A0314;MIERCOLES;15:00;19:00;4
5;202W0306;3;1;0A0280;LUNES;17:00;22:00;5
6;202W0307;3;1;Z000006;MIERCOLES;12:00;16:00;4
7;202W0401;4;1;095753;JUEVES;14:00;19:00;5
8;202W0402;4;1;Z000008;MIERCOLES;14:00;18:00;4
9;202W0403;4;1;0A4524;SABADO;09:00;13:00;4
10;202W0404;4;1;0A5230;MIERCOLES;14:00;18:00;4
11;202W0405;4;1;Z000011;MARTES;16:00;20:00;4
12;202W0407;4;1;095699;VIERNES;17:00;22:00;5
13;202W0501;5;1;Z000013;VIERNES;16:00;20:00;4
14;202W0502;5;1;Z000014;JUEVES;10:00;14:00;4
15;202W0503;5;1;01345428;SABADO;14:00;18:00;4
16;202W0504;5;1;Z000016;JUEVES;15:00;19:00;4
17;202W0505;5;1;Z000017;MIERCOLES;08:00;13:00;5
18;202W0506;5;1;0A5140;MARTES;17:00;21:00;4
19;202W0507;5;1;Z000019;MARTES;09:00;14:00;5
20;202W0601;6;1;0A5291;MIERCOLES;17:00;21:00;4
21;202W0602;6;1;0A1876;SABADO;17:00;22:00;5
22;202W0603;6;1;0A4525;JUEVES;12:00;17:00;5
23;202W0604;6;1;0A1871;MARTES;14:00;18:00;4
24;202W0605;6;1;0A1875;LUNES;10:00;15:00;5
25;202W0606;6;1;0A7565;LUNES;15:00;19:00;4
26;202W0607;6;1;095702;JUEVES;10:00;14:00;4
27;202W0701;7;1;0A4525;JUEVES;16:00;21:00;5
28;202W0701;7;2;Z000027;LUNES;11:00;16:00;5
29;202W0702;7;1;0A9179;SABADO;11:00;16:00;5
30;202W0702;7;2;0A2067;MIERCOLES;17:00;22:00;5
31;202W0703;7;1;0A0690;VIERNES;08:00;12:00;4
32;202W0703;7;2;Z000032;MIERCOLES;16:00;20:00;4
33;202W0704;7;1;095753;LUNES;16:00;20:00;4
34;202W0705;7;1;Z000035;MARTES;10:00;14:00;4
35;202W0705;7;2;0A0307;JUEVES;12:00;16:00;4
36;202W0706;7;1;Z000037;MARTES;16:00;20:00;4
37;202W0706;7;2;0A1877;LUNES;11:00;15:00;4
38;202W0707;7;1;Z000038;VIERNES;15:00;19:00;4
39;202W0707;7;2;Z000039;VIERNES;09:00;13:00;4
40;202W0801;8;1;Z000040;VIERNES;09:00;13:00;4
41;202W0802;8;1;0A1236;MARTES;17:00;21:00;4
42;202W0803;8;1;0A6225;MIERCOLES;16:00;19:00;3
43;202W0804;8;1;0A9124;SABADO;08:00;12:00;4
44;202W0805;8;1;Z000044;VIERNES;18:00;22:00;4
45;202W0806;8;1;Z000045;JUEVES;13:00;17:00;4
46;202W0807;8;1;0A1874;JUEVES;17:00;21:00;4
47;202W0808;8;1;Z000047;LUNES;18:00;22:00;4
48;202W0901;9;1;0A0182;JUEVES;09:00;12:00;3
49;202W0901;9;2;Z000048;JUEVES;14:00;17:00;3
50;202W0902;9;1;Z000050;JUEVES;13:00;17:00;4
51;202W0902;9;2;Z000051;SABADO;15:00;19:00;4
52;202W0903;9;1;0A1873;MARTES;12:00;16:00;4
53;202W0903;9;2;0A7565;LUNES;18:00;22:00;4
54;202W0904;9;1;09620253;MIERCOLES;18:00;22:00;4
55;202W0904;9;2;Z000054;JUEVES;10:00;14:00;4
56;202W0905;9;1;Z000056;JUEVES;18:00;22:00;4
57;202W0905;9;2;0A0690;MIERCOLES;09:00;13:00;4
58;202W0906;9;1;Z000058;LUNES;08:00;12:00;4
59;202W0906;9;2;0A4523;VIERNES;17:00;21:00;4
60;202W0907;9;1;Z000060;MARTES;17:00;21:00;4
61;202W0907;9;2;43813470;MARTES;16:00;20:00;4
62;202W0908;9;1;Z000062;SABADO;08:00;12:00;4
63;202W0908;9;2;0A2417;MIERCOLES;09:00;13:00;4
64;202W1001;10;1;0A2067;MARTES;18:00;22:00;4
65;202W1002;10;1;0A5230;VIERNES;12:00;15:00;3
66;202W1003;10;1;0A1876;MIERCOLES;10:00;16:00;6
67;202W1004;10;1;0A1874;SABADO;11:00;16:00;5
68;202W1005;10;1;0A1874;JUEVES;18:00;22:00;4
69;202W1006;10;1;0A1877;SABADO;13:00;17:00;4
70;INE002;1;1;0A0182;JUEVES;19:00;22:00;3
71;INO101;1;1;Z000071;JUEVES;15:00;19:00;4
72;INO102;1;1;42229911;VIERNES;14:00;17:00;3
73;INO103;1;1;Z000073;LUNES;16:00;19:00;3
74;INO106;1;1;Z000074;LUNES;09:00;15:00;6
75;INO204;2;1;40764399;JUEVES;10:00;16:00;6
76;INO205;2;1;0A4049;VIERNES;08:00;13:00;5
