CodDocente;CodAsignatura;Dia;HoraInicio;HoraFin;DuracionHoras;Ciclo;Seccion;EstudiantesAsignados
DC02653;202W0603;Viernes;13:00;18:00;5;6;1;18
DC09316;INO106;Sábado;13:00;19:00;6;1;1;3
DC00693;INO204;Jueves;13:00;19:00;6;2;1;2
DC10365;202W0604;Miércoles;13:00;17:00;4;6;1;31
DC01676;202W0605;Martes;13:00;18:00;5;6;1;13
DC13680;202W0702;Sábado;13:00;18:00;5;7;1;47
DC09884;202W0701;Martes;13:00;18:00;5;7;1;35
0A1981;202W0707;Sabado;08:00;12:00;4;7;1;84
0A1981;202W0707;Sabado;08:00;12:00;4;7;1;84
45993187;202W0902;Sabado;14:00;18:00;4;9;1;107
45993187;202W0902;Sabado;14:00;18:00;4;9;1;107
Z000057;202W0905;Miercoles;18:00;22:00;4;9;1;100
Z000057;202W0905;Miercoles;18:00;22:00;4;9;1;100
0A0690;202W0703;Jueves;18:00;22:00;4;7;1;85
0A0690;202W0703;Jueves;18:00;22:00;4;7;1;85
0A2067;202W0705;Jueves;14:00;18:00;4;7;1;104
0A2067;202W0705;Jueves;14:00;18:00;4;7;1;104
0A1875;202W0901;Miercoles;19:00;22:00;3;9;1;90
0A1875;202W0901;Miercoles;19:00;22:00;3;9;1;90
0A1873;202W0903;Jueves;18:00;22:00;4;9;1;71
0A1873;202W0903;Jueves;18:00;22:00;4;9;1;71
09620253;202W0904;Viernes;18:00;22:00;4;9;1;62
09620253;202W0904;Viernes;18:00;22:00;4;9;1;62
Z000062;202W0908;Martes;18:00;22:00;4;9;1;92
Z000062;202W0908;Martes;18:00;22:00;4;9;1;92
DC04999;202W0701;Miércoles;13:00;18:00;5;7;2;35
DC10803;202W0506;Miércoles;13:00;17:00;4;5;1;12
DC10369;202W0702;Lunes;13:00;18:00;5;7;2;47
DC03001;202W1003;Miércoles;13:00;19:00;6;10;1;42
Z000000;202W0301;Viernes;15:00;20:00;5;3;1;10
007056;202W0302;Jueves;08:00;13:00;5;3;1;5
0A06292;202W0303;Martes;08:00;12:00;4;3;1;6
08490635;202W0304;Viernes;08:00;12:00;4;3;1;2
09571E;202W0305;Jueves;14:00;18:00;4;3;1;4
0A1331;202W0306;Miercoles;08:00;13:00;5;3;1;5
0A1871;202W0307;Martes;14:00;18:00;4;3;1;1
095753;202W0401;Lunes;14:00;19:00;5;4;1;6
41388541;202W0402;Viernes;08:00;12:00;4;4;1;5
0A4524;202W0403;Miercoles;08:00;12:00;4;4;1;3
0A5230;202W0404;Miercoles;14:00;18:00;4;4;1;4
043788;202W0405;Jueves;08:00;12:00;4;4;1;6
095699;202W0407;Sabado;14:00;19:00;5;4;1;8
095729;202W0501;Jueves;08:00;12:00;4;5;1;24
030228;202W0502;Miercoles;08:00;12:00;4;5;1;20
01345428;202W0503;Lunes;18:00;22:00;4;5;1;15
09571E;202W0504;Viernes;18:00;22:00;4;5;1;15
0A1982;202W0505;Martes;08:00;13:00;5;5;1;16
0A1871;202W0507;Miercoles;08:00;13:00;5;5;1;21
0A5291;202W0601;Miercoles;18:00;22:00;4;6;1;7
0A1876;202W0602;Sabado;17:00;22:00;5;6;1;20
0A7565;202W0606;Viernes;18:00;22:00;4;6;1;16
095702;202W0607;Miercoles;14:00;18:00;4;6;1;15
011797;202W0704;Miercoles;18:00;22:00;4;7;1;51
08232375;202W0706;Martes;18:00;22:00;4;7;1;55
091081;202W0706;Viernes;14:00;18:00;4;7;2;55
44230686;202W0801;Miercoles;18:00;22:00;4;8;1;44
0A1236;202W0802;Lunes;18:00;22:00;4;8;1;20
0A6225;202W0803;Miercoles;14:00;17:00;3;8;1;22
0A9124;202W0804;Martes;18:00;22:00;4;8;1;18
0A5292;202W0805;Jueves;18:00;22:00;4;8;1;15
0A1981;202W0806;Viernes;18:00;22:00;4;8;1;29
0A1874;202W0807;Viernes;14:00;18:00;4;8;1;14
0A0314;202W0808;Lunes;14:00;18:00;4;8;1;18
Z000058;202W0906;Miercoles;18:00;22:00;4;9;1;36
Z000059;202W0906;Martes;18:00;22:00;4;9;2;36
Z000061;202W0907;Viernes;18:00;22:00;4;9;1;32
Z000060;202W0907;Lunes;18:00;22:00;4;9;2;32
0A2067;202W1001;Martes;18:00;22:00;4;10;1;20
Z000065;202W1002;Martes;19:00;22:00;3;10;1;38
0A1874;202W1004;Jueves;17:00;22:00;5;10;1;36
0A1874;202W1005;Lunes;18:00;22:00;4;10;1;31
0A1877;202W1006;Viernes;18:00;22:00;4;10;1;43
07240690;INE002;Martes;10:00;13:00;3;1;1;9
42229911;INO101;Viernes;14:00;18:00;4;1;1;4
42229911;INO102;Martes;10:00;13:00;3;1;1;1
41388541;INO103;Jueves;08:00;11:00;3;1;1;1
0A4049;INO205;Miercoles;08:00;13:00;5;2;1;1
